"year","EW","AIA","ATG","ARG","ABW","BHS","BRB","BLZ","BMU","BOL","BRA","CYM","CHL","COL","CRI","CUB","DOM","ECU","SLV","GUF","GRD","GLP","GTM","GUY","HTI","HND","JAM","MTQ","MEX","MSR","NIC","PAN","PRY","PER","PRI","BLM","KNA","MAF","VCT","SUR","TTO","TCA","URY","VEN","VGB","VIR"
2014,1,0,0,0,0,0,0,3,0,0,2061,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,2,0,65,0,47,0,5,201,40,0,0,0,0,0,0,0,0,0,0,0
2014,2,0,0,0,0,0,0,3,0,0,2504,0,0,729,0,0,0,0,0,0,0,0,0,0,0,0,1,0,128,0,35,0,12,165,17,0,0,0,0,0,0,0,0,0,0,1
2014,3,0,0,3,0,0,0,2,0,0,3209,0,0,0,0,0,0,166,189,0,0,0,0,0,0,0,0,0,300,0,66,0,18,273,18,0,0,0,0,0,0,0,0,0,0,0
2014,4,0,0,2,0,0,0,2,0,0,3966,0,0,1948,0,0,0,0,191,0,0,0,0,0,0,0,0,0,288,0,37,0,18,211,13,0,0,0,0,0,0,0,0,0,0,0
2014,5,0,0,2,0,0,0,2,0,0,4686,0,0,64,0,0,0,888,193,0,0,0,0,0,0,0,0,0,204,0,51,0,11,430,1,0,0,0,0,0,0,0,0,0,0,0
2014,6,0,0,1,0,0,0,6,0,0,5795,0,0,367,0,0,0,0,192,0,0,0,0,0,0,0,0,0,384,0,89,0,7,198,17,0,0,0,0,0,0,0,0,0,0,0
2014,7,0,0,6,0,0,0,3,0,0,5807,0,0,2476,0,0,0,482,179,0,0,0,0,0,0,0,0,0,268,0,6,0,191,404,34,0,0,0,0,0,0,0,0,0,0,0
2014,8,0,0,0,0,0,0,1,0,0,4865,0,0,1025,0,0,0,198,167,150,0,0,0,0,0,0,0,0,284,0,33,0,107,471,8,0,0,0,0,0,0,0,0,70,0,0
2014,9,0,0,1,0,0,0,4,0,0,5817,0,0,981,0,0,0,294,182,0,0,0,0,0,0,0,0,0,235,0,24,0,9,470,118,0,0,0,0,0,0,0,0,0,0,0
2014,10,0,0,1,0,0,0,1,0,0,6907,0,0,904,0,0,0,301,180,0,0,0,0,0,0,0,0,0,225,0,15,0,2,426,11,0,0,0,0,0,0,0,0,0,0,0
2014,11,0,0,2,0,0,0,0,0,43,9225,0,0,0,0,0,0,292,202,0,0,0,0,0,0,0,0,0,229,0,31,0,106,330,12,0,0,0,0,0,0,0,0,0,0,0
