"year","EW","AIA","ATG","ARG","ABW","BHS","BRB","BLZ","BMU","BOL","BRA","CYM","CHL","COL","CRI","CUB","DOM","ECU","SLV","GUF","GRD","GLP","GTM","GUY","HTI","HND","JAM","MTQ","MEX","MSR","NIC","PAN","PRY","PER","PRI","BLM","KNA","MAF","VCT","SUR","TTO","TCA","URY","VEN","VGB","VIR"
2014,1,0,0,38,0,0,0,75,0,0,4039,0,0,1822,257,0,234,267,373,0,0,0,320,0,0,155,5,0,942,0,354,0,673,330,70,0,0,0,0,0,0,0,0,1937,0,0
2014,2,0,0,38,0,0,0,104,0,0,4457,0,0,3671,184,0,154,71,373,0,0,0,320,0,0,150,9,0,967,0,372,0,668,392,114,0,0,0,0,0,0,0,0,2122,0,0
2014,3,0,0,47,0,0,0,98,0,0,5165,0,0,0,156,0,158,0,169,0,0,0,320,0,0,135,7,0,1269,0,387,0,660,530,87,0,0,0,0,0,0,0,0,2117,0,0
2014,4,0,0,47,0,0,0,70,0,810,5611,0,0,1372,189,0,190,241,226,0,0,0,320,0,0,132,6,0,1017,0,349,0,694,420,78,0,0,0,0,0,0,0,0,1838,0,0
2014,5,0,0,48,0,0,0,48,0,402,6244,0,0,146,152,0,162,0,196,0,0,0,320,0,0,121,3,0,917,0,369,0,654,374,97,0,0,0,0,0,0,0,0,1761,0,0
2014,6,0,0,34,0,0,0,52,0,0,7158,0,0,2847,145,0,139,0,214,0,0,0,320,0,0,151,5,0,896,0,306,0,502,429,73,0,0,0,0,0,0,0,0,1567,0,0
2014,7,0,0,51,0,0,0,59,0,1337,7844,0,0,763,132,0,124,0,251,0,0,0,320,0,0,174,6,0,1040,0,393,269,229,363,45,0,0,0,0,0,0,0,0,1325,0,0
2014,8,0,0,32,0,0,0,46,0,0,7397,0,0,978,96,0,101,0,250,961,0,0,320,0,0,208,3,0,1069,0,385,0,265,190,87,0,0,0,0,0,0,0,0,810,0,0
2014,9,0,0,30,0,0,0,50,0,1407,7704,0,0,964,75,0,135,0,0,0,0,0,320,0,0,231,7,0,989,0,392,0,372,192,0,0,0,0,0,0,0,0,0,794,0,0
2014,10,0,0,45,0,0,0,45,0,915,9368,0,0,1191,94,0,142,0,546,0,0,0,320,0,0,211,2,0,1053,0,446,0,249,0,73,0,0,0,0,0,0,0,0,1039,0,0
2014,11,0,0,44,0,0,0,36,0,749,10959,0,0,0,71,0,87,0,400,0,0,0,320,0,0,228,3,1505,795,0,440,0,138,0,70,0,0,0,0,0,0,0,0,898,0,0
2014,12,0,0,39,0,0,0,57,0,0,13730,0,0,1913,95,0,90,0,418,0,0,0,320,0,0,196,1,0,991,0,416,0,247,180,70,0,0,0,0,0,0,0,0,898,0,0
2014,13,0,0,45,0,0,0,53,0,649,16519,0,0,1330,90,0,167,0,461,0,0,0,320,0,0,239,0,0,907,0,391,0,0,214,85,0,0,0,0,0,0,0,0,849,0,0
2014,14,0,0,90,0,0,0,50,0,0,20852,0,0,0,77,0,96,0,394,0,0,0,320,0,0,172,2,0,1036,0,320,14,736,186,82,0,0,0,0,0,0,0,0,747,0,0
2014,15,0,0,84,0,0,0,45,0,4504,20701,0,0,2390,67,0,64,0,224,0,0,0,320,0,0,146,5,0,646,0,189,15,0,0,77,0,0,0,0,0,0,0,0,295,0,0
