Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,1,Canada,0,32,0,32,0,  ,0,0,2017,0
0.03,0,0,1,United States of America,0,32,93,32,324460,DEN,0,93,2017,324460
76.91,0,0,2,Costa Rica,0,32,,32,4906,"DEN 1,2",0,3773,2017,4906
39.81,0.118156755,0,2,El Salvador,0,32,104,32,6378,DEN 2,3,2539,2017,6378
12.19,0.82484231,0,2,Guatemala,0,32,386,31,16914,"DEN 1,2,3,4",17,2061,2017,16914
41.85,1.779726593,0,2,Honduras,0,32,0,32,9265,"DEN 1,2,3",69,3877,2017,9265
20.38,0.543230512,0.034,2,Mexico,9,32,3502,32,129163,"DEN 1,2,3",143,26324,2017,129163
707.93,,0.005,2,Nicaragua,2,32,1678,32,6218,DEN 2,,44019,2017,6218
108.27,0.180261379,0,2,Panama,0,32,2039,32,4099,"DEN 1,2",8,4438,2017,4099
80.27,0.507270883,0.023,3,Bolivia,2,32,853,32,11052,"DEN 1,4",45,8871,2017,11052
37.76,1.057972579,0.059,3,Colombia,11,32,6056,32,49066,"DEN 1,2,3,4",196,18526,2017,49066
61.34,0.117670131,0.039,3,Ecuador,4,32,10198,32,16625,DEN,12,10198,2017,16625
222.13,0.327515501,0.088,3,Peru,63,32,23776,32,32165,"DEN 2,3",234,71447,2017,32165
16.24,4.294242249,,3,Venezuela,,32,,32,31977,DEN 1,223,5193,2017,31977
1.26,0,0,4,Argentina,0,32,254,32,44271,"DEN 1,3",0,560,2017,44271
0.03,0,0,4,Chile,0,32,5,26,18055,"DEN 1,3",0,5,2017,18055
617.87,0.086318515,0,2,Belize,0,32,23,32,375,DEN,2,2317,2017,375
19.5,0,0,4,Paraguay,0,32,305,32,6811,DEN 1,0,1328,2017,6811
0,,,4,Uruguay,0,32,0,32,3457,  ,0,0,2017,3457
2.35,0,0,5,Cuba,0,32,270,25,11485,"DEN 2,3",0,270,2017,11485
7.34,5.569620253,0,5,Dominican Republic,0,32,16,32,10767,DEN,44,790,2017,10767
0.25,0,0,5,Puerto Rico,0,32,9,32,3663,DEN 2,0,9,2017,3663
0.98,0,0,6,Virgin Islands (US),0,32,1,32,102,DEN,0,1,2017,102
105.88,0,,6,Anguilla,,32,2,28,17,DEN,0,18,2017,17
1.05,0,0,6,Antigua and Barbuda,0,32,0,32,95,DEN,0,1,2017,95
581.74,0,,6,Aruba,,32,401,32,115,DEN,0,669,2017,115
1.01,0,0,6,Bahamas,0,32,0,32,395,DEN,0,4,2017,395
65.75,0,0,6,Barbados,0,32,29,28,292,DEN,0,192,2017,292
0,,,6,Bermuda,0,32,0,32,71,  ,0,0,2017,71
120,0,0,6,Virgin Islands (UK),0,32,42,32,35,DEN,0,42,2017,35
39.66,0,0,6,Cayman Islands,0,32,0,32,58,DEN,0,23,2017,58
44.59,0,0,6,Dominica,0,32,0,28,74,DEN,0,33,2017,74
160.78,0,0,6,French Guiana,0,32,0,26,283,DEN,0,455,2017,283
71.43,0,0,6,Grenada,0,32,80,28,112,DEN,0,80,2017,112
101.11,0,0,6,Guadeloupe,0,32,0,30,450,DEN,0,455,2017,450
2.42,0,0,6,Jamaica,0,32,11,32,2890,DEN 3,0,70,2017,2890
21.04,0,0,6,Martinique,0,32,2,32,385,DEN 2,0,81,2017,385
0,,,6,Montserrat,0,32,0,32,5,  ,0,0,2017,5
444.44,0,0,6,Saint Barthelemy,0,32,0,32,9,DEN,0,40,2017,9
16.98,0,0,6,Saint Kitts and Nevis,0,32,0,32,53,DEN,0,9,2017,53
16.97,0,0,6,Saint Lucia,0,32,28,32,165,DEN,0,28,2017,165
373.81,0,0,6,Saint Martin,0,32,0,30,42,DEN,0,157,2017,42
2.94,0,0,6,Saint Vincent and the Grenadines,0,32,0,32,102,DEN,0,3,2017,102
7.16,0,0,6,Trinidad and Tobago,0,32,2,25,1369,DEN,0,98,2017,1369
296.23,0,0,6,Turks and Caicos Islands,0,32,157,24,53,DEN,0,157,2017,53
100.79,0.133681601,0.054,4,Brazil,113,32,35121,32,209288,"DEN 1,2,3,4",282,210949,2017,209288
,,,6,"Bonaire, Saint Eustatius and Saba",,32,,-,26,  ,,,2017,26
,,,6,Guyana,,32,,-,778,  ,,,2017,778
,,,6,Haiti,,32,,-,10981,  ,,,2017,10981
,,,6,Suriname,,32,,-,563,  ,,,2017,563
,,,6,Curaçao,,32,,-,150,  ,,,2017,150
0.03,0,0,1,North America,0,32,93,-,324460,  ,0,93,2017,324460
4.13,4.115996258,0,5,Latin Caribbean,0,32,295,-,25915,  ,44,1069,2017,25915
36.48,0,0,6,Non-Latin Caribbean,0,32,755,-,7172,  ,0,2616,2017,19670
75.51,0.132492647,0.053,4,Southern Cone,113,32,35685,-,281882,  ,282,212842,2017,281882
50.39,0.270851054,0.012,2,Central America Ithsmus and Mexico,11,32,7732,-,177318,  ,242,89348,2017,177318
81.08,0.621525802,0.07,3,Andean Subregion,80,32,40883,-,140885,  ,710,114235,2017,140885
43.88,0.304138714,0.049,7,The Americas,204,32,85443,-,957632,  ,1278,420203,2017,970130
